time,heap,rss,score,score_debug,recent_feature,entire_feature,s_recent:heap,s_recent:rss,s_entire:heap,s_entire:rss
2025-08-25T18:25:05Z,62070784,115396608,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:25:10Z,58736640,141737984,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:25:15Z,56975360,135376896,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:25:20Z,72892416,135376896,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:25:25Z,73842688,135376896,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:25:30Z,57737216,138231808,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:25:35Z,48373760,132763648,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:25:40Z,48504832,132763648,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:25:45Z,61882368,132763648,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:25:50Z,62423040,132763648,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:25:55Z,54820864,132997120,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:26:00Z,64167936,134385664,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:26:05Z,51159040,135946240,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:26:10Z,56147968,136269824,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:26:15Z,54321152,136269824,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:26:20Z,56827904,136269824,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:26:25Z,71655424,136269824,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:26:30Z,78651392,136839168,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:26:35Z,78635008,139509760,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:26:40Z,62930944,139509760,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:26:45Z,62111744,140574720,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:26:50Z,77168640,140574720,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:26:55Z,61480960,140574720,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:27:00Z,64307200,140574720,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:27:05Z,78987264,140574720,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:27:10Z,77922304,143286272,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:27:15Z,61382656,143286272,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:27:20Z,75522048,143241216,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:27:25Z,78536704,143241216,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:27:30Z,76742656,143220736,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:27:35Z,62029824,143220736,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:27:40Z,64208896,143118336,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:27:45Z,77021184,143118336,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:27:50Z,77324288,143085568,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:27:55Z,64290816,142114816,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:28:00Z,59695104,142114816,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:28:05Z,58204160,141238272,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:28:10Z,69214208,141479936,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:28:15Z,73441280,141479936,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:28:20Z,71942144,142811136,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:28:25Z,59408384,142770176,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:28:30Z,84082688,142770176,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:28:35Z,71573504,143265792,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:28:40Z,69484544,148434944,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:28:45Z,60153856,148373504,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:28:50Z,69419008,148373504,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:28:55Z,71548928,148271104,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:29:00Z,59293696,120561664,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:29:05Z,59211776,139800576,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:29:10Z,69001216,140009472,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:29:15Z,62554112,143015936,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:29:20Z,62070784,145752064,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:29:25Z,86638592,146018304,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:29:30Z,69197824,147079168,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:29:35Z,67649536,156000256,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:29:40Z,86097920,157057024,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:29:45Z,71016448,149639168,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:29:50Z,78635008,157036544,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:29:55Z,77365248,165871616,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:30:00Z,85893120,163393536,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:30:05Z,61800448,153640960,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:30:10Z,110108672,172408832,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:30:15Z,75431936,165031936,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:30:20Z,97091584,171532288,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:30:25Z,59858944,170684416,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:30:30Z,94461952,173039616,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:30:35Z,79142912,172216320,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:30:40Z,62423040,168484864,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:30:45Z,87416832,172683264,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:30:50Z,75931648,171655168,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:30:55Z,62283776,168366080,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:31:00Z,93634560,175362048,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:31:05Z,88973312,169680896,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:31:10Z,95911936,170934272,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:31:15Z,78651392,157118464,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:31:20Z,70500352,163364864,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:31:25Z,98435072,162988032,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:31:30Z,75161600,163434496,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:31:35Z,75120640,159866880,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:31:40Z,77291520,160964608,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:31:45Z,55058432,159678464,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:31:50Z,66650112,160145408,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:31:55Z,72212480,157982720,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:32:00Z,79282176,159604736,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:32:05Z,75071488,163901440,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:32:10Z,88489984,158998528,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:32:15Z,53813248,154218496,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:32:20Z,68747264,152268800,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:32:25Z,65937408,154972160,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:32:30Z,69001216,151699456,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:32:35Z,60981248,153837568,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:32:40Z,56852480,149344256,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:32:45Z,89694208,154476544,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:32:50Z,57851904,153968640,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:32:55Z,74620928,157036544,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:33:00Z,76619776,154980352,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:33:05Z,76652544,145973248,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:33:10Z,74334208,157593600,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:33:15Z,78356480,156971008,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:33:20Z,87326720,180908032,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:33:25Z,86147072,162598912,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:33:30Z,93102080,164184064,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:33:35Z,69836800,164773888,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:33:40Z,85663744,159182848,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:33:45Z,84541440,155701248,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:33:50Z,85712896,162582528,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:33:55Z,78266368,164798464,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:34:00Z,102449152,164687872,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:34:05Z,101384192,168448000,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:34:10Z,71933952,166608896,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:34:15Z,58163200,175169536,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:34:20Z,55377920,143626240,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:34:25Z,58220544,143896576,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:34:30Z,68747264,143896576,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:34:35Z,58654720,145936384,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2025-08-25T18:34:40Z,58662912,145936384,0.000,0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
