time,heap,rss,score,score_debug,recent_feature,entire_feature,s_recent:heap,s_recent:rss,s_entire:heap,s_entire:rss
2025-08-26T18:08:19Z,51380224,137805824,0.125,0.072,0.1442,0.0000,0.0028,0.4714,0.0000,0.0000
2025-08-26T18:08:24Z,45744128,145289216,0.133,0.076,0.1529,0.0000,0.0026,0.5010,0.0000,0.0000
2025-08-26T18:08:29Z,53182464,146178048,0.140,0.081,0.1612,0.0000,0.0025,0.5290,0.0000,0.0000
2025-08-26T18:08:34Z,52011008,147120128,0.132,0.076,0.1521,0.0000,0.0023,0.4993,0.0000,0.0000
2025-08-26T18:08:39Z,38674432,138731520,0.125,0.072,0.1436,0.0000,0.0022,0.4713,0.0000,0.0000
2025-08-26T18:08:44Z,58490880,144101376,0.118,0.068,0.1355,0.0000,0.0021,0.4449,0.0000,0.0000
2025-08-26T18:08:49Z,59203584,141148160,0.111,0.064,0.1279,0.0000,0.0020,0.4199,0.0000,0.0000
2025-08-26T18:08:54Z,63528960,143278080,0.105,0.060,0.1208,0.0000,0.0019,0.3963,0.0000,0.0000
2025-08-26T18:08:59Z,63823872,147779584,0.099,0.057,0.1140,0.0000,0.0018,0.3741,0.0000,0.0000
2025-08-26T18:09:04Z,50888704,146362368,0.094,0.054,0.1076,0.0000,0.0017,0.3531,0.0000,0.0000
2025-08-26T18:09:09Z,62963712,154808320,0.088,0.051,0.1015,0.0000,0.0016,0.3333,0.0000,0.0000
2025-08-26T18:09:14Z,77594624,160604160,0.084,0.048,0.0958,0.0000,0.0015,0.3146,0.0000,0.0000
2025-08-26T18:09:19Z,58023936,155435008,0.079,0.045,0.0905,0.0000,0.0014,0.2969,0.0000,0.0000
2025-08-26T18:09:24Z,64700416,154812416,0.074,0.043,0.0854,0.0000,0.0013,0.2802,0.0000,0.0000
2025-08-26T18:09:29Z,73826304,156672000,0.070,0.040,0.0806,0.0000,0.0012,0.2645,0.0000,0.0000
2025-08-26T18:09:34Z,74883072,162144256,0.066,0.038,0.0761,0.0000,0.0012,0.2497,0.0000,0.0000
2025-08-26T18:09:39Z,56623104,159637504,0.063,0.036,0.0718,0.0000,0.0011,0.2357,0.0000,0.0000
