Test Run,Average Secure Time (us),Average Non-Secure Time (us),Performance Cost (us),Performance Overhead (%)
10,22588,17526,5062,28.88
20,33573,25075,8498,33.89
30,57371,39083,18288,46.79
40,65602,45449,20153,44.34
50,76776,53785,22991,42.75
100,75143,51382,23761,46.24
200,67506,46271,21235,45.89
500,53891,37241,16650,44.71
