Test Run,Average Secure Time (us),Average Non-Secure Time (us),Performance Cost (us),Performance Overhead (%)
10,2561,1908,653,34.22
20,3960,2892,1068,36.93
30,5488,3892,1596,41.01
40,7053,4765,2288,48.02
50,10219,6904,3315,48.02
100,8483,5542,2941,53.07
200,8512,5603,2909,51.92
500,7414,4856,2558,52.68
